,value,metric,type
0,1.324725451965407,ade,ml
1,1.1674198878772837,ade,ml
2,0.9175128348227162,ade,ml
3,1.2757549507479395,ade,ml
4,1.1845671232646808,ade,ml
5,0.4941555218025369,ade,ml
6,0.8453580377781255,ade,ml
7,1.4476843535169894,ade,ml
8,0.017186175268637905,ade,ml
9,0.21817052118138092,ade,ml
10,0.5283085941351814,ade,ml
11,0.011111585504132188,ade,ml
12,0.25008891797032623,ade,ml
13,0.0949308101493419,ade,ml
14,0.011334136204690195,ade,ml
15,0.2885914854927596,ade,ml
16,0.10948741360128263,ade,ml
17,0.013497382366546679,ade,ml
18,0.32390939190680884,ade,ml
19,0.12555893242392488,ade,ml
20,0.01796751473414906,ade,ml
21,0.35830241964284476,ade,ml
22,0.1420107263360542,ade,ml
23,0.02250344013991822,ade,ml
24,0.38973551300839576,ade,ml
25,0.5508867632094654,ade,ml
26,0.027166737126848483,ade,ml
27,0.42472472475784423,ade,ml
28,0.8552917127846628,ade,ml
29,0.03203937145512791,ade,ml
30,0.48040092372424503,ade,ml
31,0.2411332836943326,ade,ml
32,0.03856223418205173,ade,ml
33,1.3184466980757568,ade,ml
34,0.2830707387284681,ade,ml
35,0.043669355474197674,ade,ml
36,1.299290090284819,ade,ml
37,0.2269598084063634,ade,ml
38,0.05015806846323732,ade,ml
39,2.005978157569869,ade,ml
40,0.5349582563987781,ade,ml
41,0.05065291670197896,ade,ml
42,1.5581013099974081,ade,ml
43,0.7141708671798725,ade,ml
44,0.05725901018013944,ade,ml
45,0.7763975593465097,ade,ml
46,0.061422808707322286,ade,ml
47,2.5604259870438106,ade,ml
48,0.11888024928715528,ade,ml
49,0.4444343453798362,ade,ml
50,0.12331567609716744,ade,ml
51,0.44870581274614535,ade,ml
52,0.18306874419239427,ade,ml
53,0.38684758584770057,ade,ml
54,0.03594480658535557,ade,ml
55,0.49035817151177596,ade,ml
56,0.03836475811970142,ade,ml
57,2.7717194475634415,ade,ml
58,0.047246225601077135,ade,ml
59,1.7046670349709816,ade,ml
60,0.6204968622345259,ade,ml
61,0.3562473176001845,ade,ml
62,0.25077877011292665,ade,ml
63,0.5441917873243186,ade,ml
64,2.741780931905366,ade,ml
65,3.1540245039225696,ade,ml
66,0.6320239245473755,ade,ml
67,0.7600519941893964,ade,ml
68,0.8495681290832215,ade,ml
69,1.220116057140716,ade,ml
70,1.0146373977814356,ade,ml
71,2.137424978263139,ade,ml
72,1.6979931951830025,ade,ml
73,2.657621850665547,ade,ml
74,1.6569922919528433,ade,ml
75,0.7724099697722879,ade,ml
76,0.7510007645093125,ade,ml
77,0.8685952332529249,ade,ml
78,0.9971263249821143,ade,ml
79,1.1237810419753531,ade,ml
80,1.2473101979212375,ade,ml
81,2.4950457216539097,ade,ml
82,0.5114370816222095,ade,ml
83,1.9643482331125368,ade,ml
84,1.4393816326370343,ade,ml
85,1.6597004799369213,ade,ml
86,0.13256064948771007,ade,ml
87,0.1460150667748863,ade,ml
88,0.1920774670076526,ade,ml
89,0.24244774381533418,ade,ml
90,0.7428400366533521,ade,ml
91,0.4417362675688845,ade,ml
92,1.1485146792333127,ade,ml
93,0.9846497059369007,ade,ml
94,1.004351925542376,ade,ml
95,1.2824023713930346,ade,ml
96,1.5943827203352612,ade,ml
97,1.9328979805634836,ade,ml
98,2.306009586152259,ade,ml
99,0.889789280471609,ade,ml
100,2.8554010009466055,ade,ml
101,1.9599462946807842,ade,ml
102,0.5470134948596561,ade,ml
103,0.7720168270481587,ade,ml
104,0.7211121080784205,ade,ml
105,0.1274551916563416,ade,ml
106,0.6966170000265541,ade,ml
107,0.5029372138451685,ade,ml
108,0.7594247390501866,ade,ml
109,0.8546045406349849,ade,ml
110,0.48158231871569984,ade,ml
111,0.6110138060648719,ade,ml
112,0.34841512191321966,ade,ml
113,0.5057197381865686,ade,ml
114,0.6629370312794732,ade,ml
115,0.6739422936814793,ade,ml
116,0.8816896431562214,ade,ml
117,0.6451398923080398,ade,ml
118,1.3825565058164744,ade,ml
119,0.9688686367967557,ade,ml
120,1.1572995546374927,ade,ml
121,2.5031310123471306,ade,ml
122,1.839382240695655,ade,ml
123,2.514265134543765,ade,ml
124,1.8682560803732826,ade,ml
125,0.7879691847116463,ade,ml
126,3.6907924882515633,ade,ml
127,1.2000993780416682,ade,ml
128,1.1442018835381071,ade,ml
129,1.4247507416935603,ade,ml
130,1.749456846657284,ade,ml
131,1.9080561422952869,ade,ml
132,1.5966922640577537,ade,ml
133,0.9820903099840934,ade,ml
134,1.1743036490158223,ade,ml
135,0.4765860777563513,ade,ml
136,0.6070840545488717,ade,ml
137,0.741502666147813,ade,ml
138,0.30826077732516377,ade,ml
139,0.6263950835455853,ade,ml
140,0.1711057630273425,ade,ml
141,1.0789728508837941,ade,ml
142,0.5899413292633929,ade,ml
143,1.1421535877141131,ade,ml
144,1.1882426265533244,ade,ml
145,0.1395088954739847,ade,ml
146,1.4177941255296214,ade,ml
147,1.4211747331066504,ade,ml
148,1.1592321718941492,ade,ml
149,0.1714897867473185,ade,ml
150,0.9521087476388547,ade,ml
151,0.8930583263825014,ade,ml
152,0.5087133536068823,ade,ml
153,0.3539892229096085,ade,ml
154,0.6481022398526922,ade,ml
155,0.418671186127688,ade,ml
156,0.582646464548119,ade,ml
157,0.631571151086969,ade,ml
158,1.0781473396957197,ade,ml
159,1.2961703667964197,ade,ml
160,1.3394635993032538,ade,ml
161,1.409918471349043,ade,ml
162,0.6082887882851115,ade,ml
163,2.7723328806663194,ade,ml
164,1.5262908405418247,ade,ml
165,2.313174313766446,ade,ml
166,1.7416276514890299,ade,ml
167,1.5078607253493328,ade,ml
168,1.3950824503695982,ade,ml
169,2.0047386295495957,ade,ml
170,0.6660250031103179,ade,ml
171,0.8106350372575349,ade,ml
172,3.5253235791234423,ade,ml
173,0.4987216638036196,ade,ml
174,0.7080612276168553,ade,ml
175,0.8831562934097245,ade,ml
176,0.6473940138921166,ade,ml
177,0.7286606684571019,ade,ml
178,0.8168699802051701,ade,ml
179,0.907222723407067,ade,ml
180,3.509790011337176,ade,ml
181,0.27872069660465076,ade,ml
182,2.157036572880662,ade,ml
183,0.3912737504757187,ade,ml
184,1.8978041211390584,ade,ml
185,0.23747105605675076,ade,ml
186,0.3261426858076523,ade,ml
187,0.45568252345037297,ade,ml
188,0.581656870603175,ade,ml
189,0.7202334419605441,ade,ml
190,0.855766314915778,ade,ml
191,0.9813286429354225,ade,ml
192,1.115682259501239,ade,ml
193,1.2422128101307273,ade,ml
194,1.4604696763578309,ade,ml
195,0.5993308624382695,ade,ml
196,0.3734852066375151,ade,ml
197,3.525430475914581,ade,ml
198,1.6830631628384067,ade,ml
199,1.0584454462857267,ade,ml
200,0.4139070764956345,ade,ml
201,0.35354469171526803,ade,ml
202,0.4830259796704382,ade,ml
203,0.6050696046624296,ade,ml
204,0.7397432478274641,ade,ml
205,0.4972625796080168,ade,ml
206,0.5158828644964112,ade,ml
207,1.3896404752728022,ade,ml
208,0.8520943391089447,ade,ml
209,0.5107746325344246,ade,ml
210,0.720116595844423,ade,ml
211,1.1425979275349205,ade,ml
212,0.6676891317434105,ade,ml
213,0.8988285161303305,ade,ml
214,0.7624595838422232,ade,ml
215,1.0047067818139823,ade,ml
216,1.0373042959243906,ade,ml
217,1.5225347847017678,ade,ml
218,1.3864401442915024,ade,ml
219,2.2446351357362078,ade,ml
220,2.228566105091495,ade,ml
221,2.242457047882952,ade,ml
222,2.790333740958341,ade,ml
223,3.1472459125811567,ade,ml
224,2.9510576089889415,ade,ml
225,3.4884729598739983,ade,ml
226,3.113064820838328,ade,ml
