,value,metric,type
0,1.9757378456462578,fde,ml
1,1.1393079770132803,fde,ml
2,2.2089777521243885,fde,ml
3,2.8941094192829993,fde,ml
4,1.3842221084926212,fde,ml
5,0.8977325688579333,fde,ml
6,1.3095190312327099,fde,ml
7,2.5296253816840957,fde,ml
8,0.0332233497503458,fde,ml
9,0.6542986561742576,fde,ml
10,0.8074418555190738,fde,ml
11,0.021843814897142388,fde,ml
12,0.46135203669575303,fde,ml
13,0.2080546330653158,fde,ml
14,0.024515358301997452,fde,ml
15,0.4634191411682236,fde,ml
16,0.1953538099947965,fde,ml
17,0.04515906308712987,fde,ml
18,0.46135203669575303,fde,ml
19,0.19719289997998402,fde,ml
20,0.06915767590558439,fde,ml
21,0.4298304057409897,fde,ml
22,0.1937777242610077,fde,ml
23,0.06915767590558439,fde,ml
24,0.3930418021580931,fde,ml
25,1.0205878513034172,fde,ml
26,0.06915767590558439,fde,ml
27,0.4332494730613035,fde,ml
28,1.4915962258677082,fde,ml
29,0.06915767590558439,fde,ml
30,0.6775386290824423,fde,ml
31,0.35373736580725823,fde,ml
32,0.07238596339201665,fde,ml
33,2.750696419272056,fde,ml
34,0.3860422142402145,fde,ml
35,0.07249752759530627,fde,ml
36,2.5509024352350234,fde,ml
37,0.3751357083035915,fde,ml
38,0.07838439181075829,fde,ml
39,3.5271350162100927,fde,ml
40,1.0624044346102335,fde,ml
41,0.06886835408006513,fde,ml
42,2.470345261152286,fde,ml
43,1.3981415223902478,fde,ml
44,0.07527334919743246,fde,ml
45,1.0261281314654642,fde,ml
46,0.0747779995975808,fde,ml
47,4.888900156053544,fde,ml
48,0.22495949921439798,fde,ml
49,0.4971025620524253,fde,ml
50,0.18328796199609942,fde,ml
51,0.4282781182403524,fde,ml
52,0.30590644849171833,fde,ml
53,0.3920091065041686,fde,ml
54,0.10955630744709204,fde,ml
55,0.5116486769698502,fde,ml
56,0.10314148948331703,fde,ml
57,5.202464807811527,fde,ml
58,0.10729693563404236,fde,ml
59,2.9892491784362103,fde,ml
60,1.2572163312976106,fde,ml
61,0.8712035067622291,fde,ml
62,0.24203472908514212,fde,ml
63,0.8592836886739156,fde,ml
64,5.505505586316884,fde,ml
65,5.836784757752044,fde,ml
66,1.1271110016231776,fde,ml
67,1.1931170478430646,fde,ml
68,1.186321072566416,fde,ml
69,1.274511653506179,fde,ml
70,0.7284222609747717,fde,ml
71,4.721381507692957,fde,ml
72,4.121295997868359,fde,ml
73,5.661779199358677,fde,ml
74,3.364681242903248,fde,ml
75,1.6477443096581976,fde,ml
76,1.4425394338987996,fde,ml
77,1.4420723284498662,fde,ml
78,1.498777248924279,fde,ml
79,1.5166262080707402,fde,ml
80,1.574396112225989,fde,ml
81,4.905718220717482,fde,ml
82,0.4226772389433554,fde,ml
83,3.6968687915608784,fde,ml
84,2.78188413548424,fde,ml
85,2.9655619514699434,fde,ml
86,0.18981380012913965,fde,ml
87,0.2854911759025197,fde,ml
88,0.42696084107137067,fde,ml
89,0.5518587426175025,fde,ml
90,2.0977146784713994,fde,ml
91,1.526941499328593,fde,ml
92,3.1045171137043646,fde,ml
93,2.881389564595687,fde,ml
94,2.9312197371762974,fde,ml
95,3.3655244623432967,fde,ml
96,3.760039257659868,fde,ml
97,4.110260663417125,fde,ml
98,4.519636965533789,fde,ml
99,1.0728120085471806,fde,ml
100,5.395045351811486,fde,ml
101,3.525191345770606,fde,ml
102,0.941320454805497,fde,ml
103,1.467914909421256,fde,ml
104,1.1436640939314549,fde,ml
105,0.2632500905588059,fde,ml
106,1.418906280985029,fde,ml
107,0.6650317398216465,fde,ml
108,1.5821735348696488,fde,ml
109,1.66367701235582,fde,ml
110,0.8718917147809887,fde,ml
111,0.8907285741338565,fde,ml
112,0.46566994225857034,fde,ml
113,1.078621627690385,fde,ml
114,1.0784317040590434,fde,ml
115,2.0108903927181347,fde,ml
116,2.5101498866223633,fde,ml
117,2.0246789273549113,fde,ml
118,3.2199351049743976,fde,ml
119,2.04954788141181,fde,ml
120,2.2478155774738755,fde,ml
121,5.604102277407216,fde,ml
122,4.462985960285116,fde,ml
123,5.628255202495402,fde,ml
124,4.304495436737056,fde,ml
125,1.6754519198048385,fde,ml
126,7.385593626505414,fde,ml
127,3.061397244654023,fde,ml
128,3.0969196963120202,fde,ml
129,3.4754756917005607,fde,ml
130,3.9002804211899047,fde,ml
131,3.961011091217822,fde,ml
132,3.1576301187477944,fde,ml
133,2.264298330159265,fde,ml
134,2.519780089596753,fde,ml
135,1.0810334783631994,fde,ml
136,1.3151704163207687,fde,ml
137,1.374958802659215,fde,ml
