,value,metric,type
0,3.983713561963794,kde,full
1,2.92945197985092,kde,full
2,2.439383520754732,kde,full
3,8.371581225085455,kde,full
4,5.435539312264356,kde,full
5,1.5092667659272898,kde,full
6,1.5446270316391537,kde,full
7,5.020547798007611,kde,full
8,-3.3461308400800904,kde,full
9,-1.52603125248111,kde,full
10,0.6446918992504665,kde,full
11,-3.4406237524296337,kde,full
12,-1.3084457893638954,kde,full
13,-1.9026383986402085,kde,full
14,-3.34399282152933,kde,full
15,-0.950653206657107,kde,full
16,-1.5918529562024224,kde,full
17,-3.3425577473641153,kde,full
18,-0.5274541800938364,kde,full
19,-1.3183974024964045,kde,full
20,-3.3573635427073256,kde,full
21,0.05779289172886454,kde,full
22,-0.64900297848163,kde,full
23,-3.400110485597608,kde,full
24,0.7312827006096463,kde,full
25,0.8888639264830488,kde,full
26,-3.404533952695202,kde,full
27,2.513852513337273,kde,full
28,3.5512872210418513,kde,full
29,-3.4440797407406847,kde,full
30,4.342094491992431,kde,full
31,-0.6509224130049153,kde,full
32,-3.3043581241545543,kde,full
33,2.4388036593589884,kde,full
34,0.16258655531811478,kde,full
35,-3.260583016629626,kde,full
36,4.361422390691135,kde,full
37,-0.3178194548674325,kde,full
38,-3.183590542003505,kde,full
39,7.723124591950779,kde,full
40,0.7685829059795969,kde,full
41,-3.068549687106741,kde,full
42,7.183680543117606,kde,full
43,1.9691551546455486,kde,full
44,-2.8896809598601663,kde,full
45,4.625250611057806,kde,full
46,-2.380460623160524,kde,full
47,8.990875672070246,kde,full
48,-2.037352119563313,kde,full
49,0.6994531514059831,kde,full
50,-1.862585233401608,kde,full
51,0.7118414100995505,kde,full
52,-0.8985701916264587,kde,full
53,1.1457792913153755,kde,full
54,-3.3297124373064597,kde,full
55,5.379846352637575,kde,full
56,-3.2175957749764437,kde,full
57,5.868800317582317,kde,full
58,-3.200300748107422,kde,full
59,5.756300267412245,kde,full
60,3.415153875369411,kde,full
61,-0.4640334223511151,kde,full
62,-0.06869959782342358,kde,full
63,4.677885427412989,kde,full
64,10.106754325980853,kde,full
65,8.872972159727647,kde,full
66,0.5731907588630121,kde,full
67,1.3985076193342048,kde,full
68,2.313887354168517,kde,full
69,5.959844923189092,kde,full
70,6.984265071577935,kde,full
71,4.776350740083253,kde,full
72,3.741549974452886,kde,full
73,9.809736538110698,kde,full
74,4.622543312711516,kde,full
75,0.8290144119061551,kde,full
76,1.1854332272586041,kde,full
77,2.6370337879412484,kde,full
78,3.566843677934235,kde,full
79,6.831390395571718,kde,full
80,9.653038185899927,kde,full
81,9.821062714750013,kde,full
82,2.7470871502445626,kde,full
83,6.605946779666621,kde,full
84,2.273297509409851,kde,full
85,6.354336065867126,kde,full
86,-1.4514712043349833,kde,full
87,-1.3893609047033775,kde,full
88,-0.8777865343814294,kde,full
89,-0.03934788017411994,kde,full
90,2.0582391346166964,kde,full
91,0.5736589379008791,kde,full
92,2.51722021256799,kde,full
93,2.2436348657357272,kde,full
94,1.1888469440144043,kde,full
95,2.7447785457929403,kde,full
96,5.910223575919793,kde,full
97,12.22522033672084,kde,full
98,18.24011197668473,kde,full
99,4.362563833899213,kde,full
100,6.389700901655497,kde,full
101,9.079802085205667,kde,full
102,1.7210228032539379,kde,full
103,2.4811442972158293,kde,full
104,1.9911179728553907,kde,full
105,-0.6132478269291225,kde,full
106,1.3882154343866289,kde,full
107,1.4220658102732955,kde,full
108,2.2221740199603692,kde,full
109,2.9674977271109673,kde,full
110,1.0928214603827802,kde,full
111,1.4807851997493249,kde,full
112,0.8936554959246517,kde,full
113,1.3386821991552784,kde,full
114,1.796609617679177,kde,full
115,0.8910602684165325,kde,full
116,1.7536293990761367,kde,full
117,0.8200343375384389,kde,full
118,3.1221021671526867,kde,full
119,2.259849125205691,kde,full
120,5.304425481337574,kde,full
121,5.119020443173142,kde,full
122,3.0524340103685317,kde,full
123,11.159432687841964,kde,full
124,5.036408987567747,kde,full
125,5.124836296131474,kde,full
126,14.805978231016281,kde,full
127,1.7247976097380928,kde,full
128,1.480153545145272,kde,full
129,4.8449297863995255,kde,full
130,10.009091553318882,kde,full
131,11.589528301086935,kde,full
132,10.655862218870638,kde,full
133,3.756748345072865,kde,full
134,3.1176689736322736,kde,full
135,0.581925953822297,kde,full
136,0.908346799577538,kde,full
137,1.9652309058688666,kde,full
138,-0.42226137139487696,kde,full
139,1.6341414635664202,kde,full
140,-0.3211753412721083,kde,full
141,4.9093469373739085,kde,full
142,1.4153886094965662,kde,full
143,6.582299324741878,kde,full
144,11.564312935136371,kde,full
145,-0.40167405013278756,kde,full
146,5.695877262313331,kde,full
147,15.146772846312125,kde,full
148,4.913413620153124,kde,full
149,-0.5629171061847013,kde,full
150,9.855448654717925,kde,full
151,8.124372035859603,kde,full
152,0.805832150631774,kde,full
153,0.16478485577962648,kde,full
154,1.5637784091287747,kde,full
155,0.5903874567052861,kde,full
156,0.3089689060217157,kde,full
157,0.3368920556823348,kde,full
158,2.3654865198580706,kde,full
159,3.340751531201293,kde,full
160,2.8508035029491703,kde,full
161,2.934419753120257,kde,full
162,6.758395571094024,kde,full
163,6.295742468499007,kde,full
164,3.6029536861645957,kde,full
165,12.626375169902566,kde,full
166,4.276148026343751,kde,full
167,2.8837572974554155,kde,full
168,4.205975077238065,kde,full
169,8.995294778981007,kde,full
170,2.9595230283761667,kde,full
171,5.529906649172052,kde,full
172,15.918349376581617,kde,full
173,0.6343592802573575,kde,full
174,1.2904931194501335,kde,full
175,2.8340092516031374,kde,full
176,0.7363659453102291,kde,full
177,1.4686931842300064,kde,full
178,4.094703498743369,kde,full
179,6.313394728427331,kde,full
180,14.938577674104897,kde,full
181,0.8682965166034042,kde,full
182,5.370033304054728,kde,full
183,1.7722663476439189,kde,full
184,6.0077901594834575,kde,full
185,-1.0285259070224517,kde,full
186,-0.9525289220272513,kde,full
187,-0.5758454028476527,kde,full
188,-0.46388725550692406,kde,full
189,0.32918982807386027,kde,full
190,1.250852122150922,kde,full
191,2.419018210575187,kde,full
192,3.8278376268009695,kde,full
193,11.358772967613621,kde,full
194,4.482481761274155,kde,full
195,2.466903367696027,kde,full
196,5.371952657610482,kde,full
197,14.370954924843236,kde,full
198,5.3247348789941285,kde,full
199,2.8706886581030044,kde,full
200,0.3684986839156046,kde,full
201,-0.8180668546359453,kde,full
202,-0.18323780056035144,kde,full
203,0.5956675868512301,kde,full
204,1.3168435713865785,kde,full
205,1.0098650310410353,kde,full
206,4.484693945444551,kde,full
207,7.447178631345183,kde,full
208,1.7542890237261748,kde,full
