,value,metric,type
0,18.517725330697814,kde,z_mode
1,20.0,kde,z_mode
2,17.875874559031296,kde,z_mode
3,20.0,kde,z_mode
4,20.0,kde,z_mode
5,18.156908828366827,kde,z_mode
6,20.0,kde,z_mode
7,20.0,kde,z_mode
8,-5.76290562361226,kde,z_mode
9,4.392091107640346,kde,z_mode
10,20.0,kde,z_mode
11,-6.394134781252359,kde,z_mode
12,6.2305164400707085,kde,z_mode
13,-1.185099238920398,kde,z_mode
14,-6.3656733777200145,kde,z_mode
15,8.258454022413458,kde,z_mode
16,3.7239017388463123,kde,z_mode
17,-5.484844461355655,kde,z_mode
18,10.634331988945897,kde,z_mode
19,5.49652503320286,kde,z_mode
20,-2.2412573822503825,kde,z_mode
21,12.883127001965777,kde,z_mode
22,7.213517349809789,kde,z_mode
23,-0.00977403650900266,kde,z_mode
24,15.183175799946916,kde,z_mode
25,20.0,kde,z_mode
26,2.1917167448468033,kde,z_mode
27,17.537848826939236,kde,z_mode
28,20.0,kde,z_mode
29,4.303623057257906,kde,z_mode
30,20.0,kde,z_mode
31,17.43328967604396,kde,z_mode
32,6.299623078571739,kde,z_mode
33,20.0,kde,z_mode
34,20.0,kde,z_mode
35,8.747295659501352,kde,z_mode
36,20.0,kde,z_mode
37,16.54895377429279,kde,z_mode
38,11.56789063692653,kde,z_mode
39,20.0,kde,z_mode
40,17.892509933815163,kde,z_mode
41,15.200745234721163,kde,z_mode
42,20.0,kde,z_mode
43,20.0,kde,z_mode
44,17.54554789029004,kde,z_mode
45,20.0,kde,z_mode
46,20.0,kde,z_mode
47,20.0,kde,z_mode
48,19.530812028829192,kde,z_mode
49,14.53802742125492,kde,z_mode
50,20.0,kde,z_mode
51,20.0,kde,z_mode
52,20.0,kde,z_mode
53,17.882488518814483,kde,z_mode
54,0.32290346000504444,kde,z_mode
55,20.0,kde,z_mode
56,1.8647627289961302,kde,z_mode
57,20.0,kde,z_mode
58,3.8064787463690015,kde,z_mode
59,20.0,kde,z_mode
60,20.0,kde,z_mode
61,0.7479893458385558,kde,z_mode
62,7.192787058410291,kde,z_mode
